iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate
HKG,Asia,Hong Kong,23/1/2020,2,2,,,,,0.265,0.265,,,,,
HKG,Asia,Hong Kong,24/1/2020,2,0,,,,,0.265,0,,,,,
HKG,Asia,Hong Kong,25/1/2020,5,3,,,,,0.662,0.397,,,,,
HKG,Asia,Hong Kong,26/1/2020,8,3,,,,,1.059,0.397,,,,,
HKG,Asia,Hong Kong,27/1/2020,8,0,,,,,1.059,0,,,,,
HKG,Asia,Hong Kong,28/1/2020,8,0,,,,,1.059,0,,,,,
HKG,Asia,Hong Kong,29/1/2020,10,2,1.429,,,,1.324,0.265,0.189,,,,
HKG,Asia,Hong Kong,30/1/2020,10,0,1.143,,,,1.324,0,0.151,,,,
HKG,Asia,Hong Kong,31/1/2020,12,2,1.429,,,,1.589,0.265,0.189,,,,
HKG,Asia,Hong Kong,1/2/2020,13,1,1.143,,,,1.721,0.132,0.151,,,,
HKG,Asia,Hong Kong,2/2/2020,15,2,1,,,,1.986,0.265,0.132,,,,
HKG,Asia,Hong Kong,3/2/2020,15,0,1,,,,1.986,0,0.132,,,,
HKG,Asia,Hong Kong,4/2/2020,17,2,1.286,1,1,,2.251,0.265,0.17,0.132,0.132,,
HKG,Asia,Hong Kong,5/2/2020,21,4,1.571,1,0,,2.78,0.53,0.208,0.132,0,,
HKG,Asia,Hong Kong,6/2/2020,24,3,2,1,0,,3.178,0.397,0.265,0.132,0,,
HKG,Asia,Hong Kong,7/2/2020,25,1,1.857,1,0,,3.31,0.132,0.246,0.132,0,,
HKG,Asia,Hong Kong,8/2/2020,26,1,1.857,1,0,,3.442,0.132,0.246,0.132,0,,
HKG,Asia,Hong Kong,9/2/2020,29,3,2,1,0,,3.84,0.397,0.265,0.132,0,,
HKG,Asia,Hong Kong,10/2/2020,38,9,3.286,1,0,0.143,5.031,1.192,0.435,0.132,0,0.019,
HKG,Asia,Hong Kong,11/2/2020,49,11,4.571,1,0,0,6.488,1.456,0.605,0.132,0,0,
HKG,Asia,Hong Kong,12/2/2020,50,1,4.143,1,0,0,6.62,0.132,0.549,0.132,0,0,
HKG,Asia,Hong Kong,13/2/2020,53,3,4.143,1,0,0,7.017,0.397,0.549,0.132,0,0,
HKG,Asia,Hong Kong,14/2/2020,56,3,4.429,1,0,0,7.414,0.397,0.586,0.132,0,0,
HKG,Asia,Hong Kong,15/2/2020,56,0,4.286,1,0,0,7.414,0,0.567,0.132,0,0,
HKG,Asia,Hong Kong,16/2/2020,57,1,4,1,0,0,7.547,0.132,0.53,0.132,0,0,
HKG,Asia,Hong Kong,17/2/2020,60,3,3.143,1,0,0,7.944,0.397,0.416,0.132,0,0,
HKG,Asia,Hong Kong,18/2/2020,62,2,1.857,1,0,0,8.209,0.265,0.246,0.132,0,0,
HKG,Asia,Hong Kong,19/2/2020,63,1,1.857,2,1,0.143,8.341,0.132,0.246,0.265,0.132,0.019,
HKG,Asia,Hong Kong,20/2/2020,68,5,2.143,2,0,0.143,9.003,0.662,0.284,0.265,0,0.019,
HKG,Asia,Hong Kong,21/2/2020,68,0,1.714,2,0,0.143,9.003,0,0.227,0.265,0,0.019,
HKG,Asia,Hong Kong,22/2/2020,69,1,1.857,2,0,0.143,9.136,0.132,0.246,0.265,0,0.019,
HKG,Asia,Hong Kong,23/2/2020,74,5,2.429,2,0,0.143,9.798,0.662,0.322,0.265,0,0.019,
HKG,Asia,Hong Kong,24/2/2020,79,5,2.714,2,0,0.143,10.46,0.662,0.359,0.265,0,0.019,
HKG,Asia,Hong Kong,25/2/2020,84,5,3.143,2,0,0.143,11.122,0.662,0.416,0.265,0,0.019,
HKG,Asia,Hong Kong,26/2/2020,91,7,4,2,0,0,12.049,0.927,0.53,0.265,0,0,
HKG,Asia,Hong Kong,27/2/2020,92,1,3.429,2,0,0,12.181,0.132,0.454,0.265,0,0,
HKG,Asia,Hong Kong,28/2/2020,94,2,3.714,2,0,0,12.446,0.265,0.492,0.265,0,0,
HKG,Asia,Hong Kong,29/2/2020,95,1,3.714,2,0,0,12.578,0.132,0.492,0.265,0,0,
HKG,Asia,Hong Kong,1/3/2020,96,1,3.143,2,0,0,12.711,0.132,0.416,0.265,0,0,
HKG,Asia,Hong Kong,2/3/2020,100,4,3,2,0,0,13.24,0.53,0.397,0.265,0,0,
HKG,Asia,Hong Kong,3/3/2020,100,0,2.286,2,0,0,13.24,0,0.303,0.265,0,0,
HKG,Asia,Hong Kong,4/3/2020,105,5,2,2,0,0,13.902,0.662,0.265,0.265,0,0,
HKG,Asia,Hong Kong,5/3/2020,105,0,1.857,2,0,0,13.902,0,0.246,0.265,0,0,
HKG,Asia,Hong Kong,6/3/2020,107,2,1.857,2,0,0,14.167,0.265,0.246,0.265,0,0,
HKG,Asia,Hong Kong,7/3/2020,108,1,1.857,2,0,0,14.299,0.132,0.246,0.265,0,0,
HKG,Asia,Hong Kong,8/3/2020,114,6,2.571,3,1,0.143,15.094,0.794,0.34,0.397,0.132,0.019,
HKG,Asia,Hong Kong,9/3/2020,115,1,2.143,3,0,0.143,15.226,0.132,0.284,0.397,0,0.019,
HKG,Asia,Hong Kong,10/3/2020,120,5,2.857,3,0,0.143,15.888,0.662,0.378,0.397,0,0.019,
HKG,Asia,Hong Kong,11/3/2020,126,6,3,3,0,0.143,16.683,0.794,0.397,0.397,0,0.019,
HKG,Asia,Hong Kong,12/3/2020,129,3,3.429,3,0,0.143,17.08,0.397,0.454,0.397,0,0.019,
HKG,Asia,Hong Kong,13/3/2020,134,5,3.857,4,1,0.286,17.742,0.662,0.511,0.53,0.132,0.038,
HKG,Asia,Hong Kong,14/3/2020,140,6,4.571,4,0,0.286,18.536,0.794,0.605,0.53,0,0.038,
HKG,Asia,Hong Kong,15/3/2020,145,5,4.429,4,0,0.143,19.198,0.662,0.586,0.53,0,0.019,
HKG,Asia,Hong Kong,16/3/2020,155,10,5.714,4,0,0.143,20.522,1.324,0.757,0.53,0,0.019,
HKG,Asia,Hong Kong,17/3/2020,162,7,6,4,0,0.143,21.449,0.927,0.794,0.53,0,0.019,
HKG,Asia,Hong Kong,18/3/2020,181,19,7.857,4,0,0.143,23.965,2.516,1.04,0.53,0,0.019,
HKG,Asia,Hong Kong,19/3/2020,208,27,11.286,4,0,0.143,27.539,3.575,1.494,0.53,0,0.019,
HKG,Asia,Hong Kong,20/3/2020,256,48,17.429,4,0,0,33.895,6.355,2.308,0.53,0,0,
HKG,Asia,Hong Kong,21/3/2020,273,17,19,4,0,0,36.146,2.251,2.516,0.53,0,0,
HKG,Asia,Hong Kong,22/3/2020,317,44,24.571,4,0,0,41.971,5.826,3.253,0.53,0,0,
HKG,Asia,Hong Kong,23/3/2020,351,34,28,4,0,0,46.473,4.502,3.707,0.53,0,0,
HKG,Asia,Hong Kong,24/3/2020,382,31,31.429,4,0,0,50.577,4.104,4.161,0.53,0,0,
HKG,Asia,Hong Kong,25/3/2020,407,25,32.286,4,0,0,53.887,3.31,4.275,0.53,0,0,
HKG,Asia,Hong Kong,26/3/2020,452,45,34.857,4,0,0,59.845,5.958,4.615,0.53,0,0,
HKG,Asia,Hong Kong,27/3/2020,494,42,34,4,0,0,65.406,5.561,4.502,0.53,0,0,
HKG,Asia,Hong Kong,28/3/2020,526,32,36.143,4,0,0,69.643,4.237,4.785,0.53,0,0,
HKG,Asia,Hong Kong,29/3/2020,577,51,37.143,4,0,0,76.396,6.752,4.918,0.53,0,0,
HKG,Asia,Hong Kong,30/3/2020,623,46,38.857,4,0,0,82.486,6.09,5.145,0.53,0,0,
HKG,Asia,Hong Kong,31/3/2020,680,57,42.571,4,0,0,90.033,7.547,5.637,0.53,0,0,
HKG,Asia,Hong Kong,1/4/2020,737,57,47.143,4,0,0,97.58,7.547,6.242,0.53,0,0,
HKG,Asia,Hong Kong,2/4/2020,784,47,47.429,4,0,0,103.803,6.223,6.28,0.53,0,0,
HKG,Asia,Hong Kong,3/4/2020,831,47,48.143,4,0,0,110.025,6.223,6.374,0.53,0,0,
HKG,Asia,Hong Kong,4/4/2020,853,22,46.714,4,0,0,112.938,2.913,6.185,0.53,0,0,
HKG,Asia,Hong Kong,5/4/2020,882,29,43.571,4,0,0,116.778,3.84,5.769,0.53,0,0,
HKG,Asia,Hong Kong,6/4/2020,914,32,41.571,4,0,0,121.015,4.237,5.504,0.53,0,0,
HKG,Asia,Hong Kong,7/4/2020,935,21,36.429,4,0,0,123.795,2.78,4.823,0.53,0,0,
HKG,Asia,Hong Kong,8/4/2020,960,25,31.857,4,0,0,127.105,3.31,4.218,0.53,0,0,
HKG,Asia,Hong Kong,9/4/2020,973,13,27,4,0,0,128.826,1.721,3.575,0.53,0,0,
HKG,Asia,Hong Kong,10/4/2020,989,16,22.571,4,0,0,130.945,2.118,2.988,0.53,0,0,
HKG,Asia,Hong Kong,11/4/2020,1000,11,21,4,0,0,132.401,1.456,2.78,0.53,0,0,
HKG,Asia,Hong Kong,12/4/2020,1004,4,17.429,4,0,0,132.931,0.53,2.308,0.53,0,0,
HKG,Asia,Hong Kong,13/4/2020,1009,5,13.571,4,0,0,133.593,0.662,1.797,0.53,0,0,
HKG,Asia,Hong Kong,14/4/2020,1012,3,11,4,0,0,133.99,0.397,1.456,0.53,0,0,
HKG,Asia,Hong Kong,15/4/2020,1016,4,8,4,0,0,134.52,0.53,1.059,0.53,0,0,
HKG,Asia,Hong Kong,16/4/2020,1017,1,6.286,4,0,0,134.652,0.132,0.832,0.53,0,0,
HKG,Asia,Hong Kong,17/4/2020,1021,4,4.571,4,0,0,135.182,0.53,0.605,0.53,0,0,
HKG,Asia,Hong Kong,18/4/2020,1023,2,3.286,4,0,0,135.446,0.265,0.435,0.53,0,0,
HKG,Asia,Hong Kong,19/4/2020,1025,2,3,4,0,0,135.711,0.265,0.397,0.53,0,0,
HKG,Asia,Hong Kong,20/4/2020,1025,0,2.286,4,0,0,135.711,0,0.303,0.53,0,0,
HKG,Asia,Hong Kong,21/4/2020,1029,4,2.429,4,0,0,136.241,0.53,0.322,0.53,0,0,
HKG,Asia,Hong Kong,22/4/2020,1033,4,2.429,4,0,0,136.77,0.53,0.322,0.53,0,0,
HKG,Asia,Hong Kong,23/4/2020,1035,2,2.571,4,0,0,137.035,0.265,0.34,0.53,0,0,
HKG,Asia,Hong Kong,24/4/2020,1035,0,2,4,0,0,137.035,0,0.265,0.53,0,0,
HKG,Asia,Hong Kong,25/4/2020,1037,2,2,4,0,0,137.3,0.265,0.265,0.53,0,0,
HKG,Asia,Hong Kong,26/4/2020,1037,0,1.714,4,0,0,137.3,0,0.227,0.53,0,0,
HKG,Asia,Hong Kong,27/4/2020,1037,0,1.714,4,0,0,137.3,0,0.227,0.53,0,0,
HKG,Asia,Hong Kong,28/4/2020,1037,0,1.143,4,0,0,137.3,0,0.151,0.53,0,0,
HKG,Asia,Hong Kong,29/4/2020,1037,0,0.571,4,0,0,137.3,0,0.076,0.53,0,0,
HKG,Asia,Hong Kong,30/4/2020,1037,0,0.286,4,0,0,137.3,0,0.038,0.53,0,0,
HKG,Asia,Hong Kong,1/5/2020,1039,2,0.571,4,0,0,137.565,0.265,0.076,0.53,0,0,
HKG,Asia,Hong Kong,2/5/2020,1039,0,0.286,4,0,0,137.565,0,0.038,0.53,0,0,
HKG,Asia,Hong Kong,3/5/2020,1039,0,0.286,4,0,0,137.565,0,0.038,0.53,0,0,
HKG,Asia,Hong Kong,4/5/2020,1040,1,0.429,4,0,0,137.697,0.132,0.057,0.53,0,0,
HKG,Asia,Hong Kong,5/5/2020,1040,0,0.429,4,0,0,137.697,0,0.057,0.53,0,0,
HKG,Asia,Hong Kong,6/5/2020,1040,0,0.429,4,0,0,137.697,0,0.057,0.53,0,0,
HKG,Asia,Hong Kong,7/5/2020,1044,4,1,4,0,0,138.227,0.53,0.132,0.53,0,0,
HKG,Asia,Hong Kong,8/5/2020,1044,0,0.714,4,0,0,138.227,0,0.095,0.53,0,0,
HKG,Asia,Hong Kong,9/5/2020,1044,0,0.714,4,0,0,138.227,0,0.095,0.53,0,0,
HKG,Asia,Hong Kong,10/5/2020,1047,3,1.143,4,0,0,138.624,0.397,0.151,0.53,0,0,
HKG,Asia,Hong Kong,11/5/2020,1047,0,1,4,0,0,138.624,0,0.132,0.53,0,0,
HKG,Asia,Hong Kong,12/5/2020,1047,0,1,4,0,0,138.624,0,0.132,0.53,0,0,
HKG,Asia,Hong Kong,13/5/2020,1050,3,1.429,4,0,0,139.021,0.397,0.189,0.53,0,0,
HKG,Asia,Hong Kong,14/5/2020,1051,1,1,4,0,0,139.154,0.132,0.132,0.53,0,0,
HKG,Asia,Hong Kong,15/5/2020,1052,1,1.143,4,0,0,139.286,0.132,0.151,0.53,0,0,
HKG,Asia,Hong Kong,16/5/2020,1052,0,1.143,4,0,0,139.286,0,0.151,0.53,0,0,
HKG,Asia,Hong Kong,17/5/2020,1055,3,1.143,4,0,0,139.683,0.397,0.151,0.53,0,0,
HKG,Asia,Hong Kong,18/5/2020,1055,0,1.143,4,0,0,139.683,0,0.151,0.53,0,0,
HKG,Asia,Hong Kong,19/5/2020,1055,0,1.143,4,0,0,139.683,0,0.151,0.53,0,0,
HKG,Asia,Hong Kong,20/5/2020,1055,0,0.714,4,0,0,139.683,0,0.095,0.53,0,0,
HKG,Asia,Hong Kong,21/5/2020,1063,8,1.714,4,0,0,140.743,1.059,0.227,0.53,0,0,
HKG,Asia,Hong Kong,22/5/2020,1065,2,1.857,4,0,0,141.007,0.265,0.246,0.53,0,0,
HKG,Asia,Hong Kong,23/5/2020,1065,0,1.857,4,0,0,141.007,0,0.246,0.53,0,0,
